name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,,g_us_per_km,max_i_ka,kv_from,MVA_sp,df,parallel,type,max_loading_percent,in_service,line_id,wp_max_i_ka,,MVA_wp
 'Bealistown' to  'Bealistown',,813,812,1.3,2.20E-01,3.50E-01,6.13E+01,0.286,0,0.411939417,20,14.27,1,1,,110,TRUE,758,0.519615242,,18
 'Great Island' to  'Ballygowney',,816,815,8.2,2.20E-01,3.50E-01,1.07E+01,1.804,0,0.510499185,38,33.59999997,1,1,,110,TRUE,757,0.607737126,,40
 'Great Island' to  'Bealistown',,816,814,9,3.73E-01,3.92E-01,9.76E+00,3.357,0,0.384393732,38,25.30000001,1,1,,110,TRUE,756,0.455802844,,30
    'Glanlee' to    'GAE_SCOM',,820,819,0.001,5,10,3.18E+04,0.005,0,288.6462671,20,9999.000001,1,1,,110,TRUE,755,288.6462671,,9999
 'Griffinrath ' to  'Maynooth A',,821,1541,2.2,1.65E-01,4.78E-01,9.59E+00,0.363,0,0.551107075,110,105,1,1,,110,TRUE,754,0.645582574,431,123
    'Leixlip' to      'Confey',,825,823,0.9,4.81E-02,1.11E-01,2.94E+02,0.04329,0,0.670030181,38,44.10000001,1,1,,110,TRUE,753,0.668510838,,44
 'Griffinrath' to    'griffinr',,827,826,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,752,151.9190879,,9999
 'Griffinrath' to     'Leixlip',,827,825,10.89,3.63E-01,3.83E-01,1.82E+01,3.95307,0,0.384393732,38,25.30000001,1,1,,110,TRUE,751,0.455802844,,30
   'Glasmore' to  'Featherbed',,830,829,1,3.74E-01,3.93E-01,2.20E+01,0.374,0,0.240056165,38,15.80000003,1,1,,110,TRUE,750,0.349448847,,23
   'Glasmore' to  'Keelings_CHP',,830,35,0.001,5,10,3.18E+04,0.005,0,15.17823471,38,999.0000001,1,1,,110,TRUE,749,15.17823471,,999
    'Garvagh' to     'Garvagh',,839,843,0.001,5,10,3.18E+04,0.005,0,28.83864595,20,999.0000001,1,1,,110,TRUE,748,28.83864595,,999
    'Garvagh' to  'shunt garvag',,843,838,0.001,5,10,3.18E+04,0.005,0,28.83864595,20,999.0000001,1,1,,110,TRUE,747,28.83864595,,999
    'Garvagh' to     'Garvagh' 2,,845,839,0.001,5,10,3.18E+04,0.005,0,28.83864595,20,999.0000001,1,1,,110,TRUE,746,28.83864595,,999
    'Garvagh' to    'Gar SCOM',,846,842,0.001,5,10,3.18E+04,0.005,0,28.83864595,20,999.0000001,1,1,,110,TRUE,745,28.83864595,,999
    'Garvagh' to  'shunt garvag' 2,,846,841,0.001,776,2489.52,954930.4651,0.776,0,28.83864595,20,999.0000001,1,1,,110,TRUE,744,28.83864595,,999
    'Garvagh' to     'Garvagh' 3,,846,839,0.001,5,10,3.18E+04,0.005,0,28.83864595,20,999.0000001,1,1,,110,TRUE,743,28.83864595,,999
    'Garvagh' to     'Garvagh' 4,,847,846,0.001,90.64,72.04,4114158.754,0.09064,0,28.83864595,20,999.0000001,1,1,,110,TRUE,742,28.83864595,,999
  'Ashbourne' to     'Finglas',,854,857,10.5,3.58E-01,3.79E-01,2.31E+01,3.759,0,0.299310534,38,19.69999998,1,1,,110,TRUE,741,0.395029132,,26
    'Finglas' to     'finglas',,857,856,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,740,151.9190879,,9999
 'Francis St' to  'Bedford Row',,859,1784,1,0.12221,0.242,1.60E+02,0.12221,0,151.9190879,38,9998.999998,1,1,,110,TRUE,739,151.9190879,,9999
 'Francis St' to  'Bedford Row' 3,,859,1784,1.52,5.64E-02,8.23E-02,6.31E+02,0.085728,0,151.9190879,38,9998.999998,1,1,,110,TRUE,738,151.9190879,,9999
 'ENNIS NRTH' to     'COROFIN',,872,869,0.001,5,10,3.18E+04,0.005,0,577.2925342,10,9999.000001,1,1,,110,TRUE,737,577.2925341,,9999
      'Ennis' to  'ENNIS NRTH',,874,870,3,4.72E-02,1.10E-01,2.94E+02,0.1416,0,0.670030181,38,44.10000001,1,1,,110,TRUE,736,0.668510838,,44
   'Dunfirth' to    'Dunfirth',,880,879,2.5,8.50E-02,1.05E-01,3.83E+02,0.2125,0,0.522501994,20,18.10000001,1,1,,110,TRUE,735,0.519615242,,18
     'Dalton' to      'Dalton',,887,886,10.4,4.71E-02,1.10E-01,2.90E+02,0.48984,0,0.670030181,38,44.10000001,1,1,,110,TRUE,734,0.668510838,,44
   'Meenwaun' to    'Meenwaun',,904,903,7,8.49E-02,1.05E-01,3.75E+02,0.5943,0,0.522501994,20,18.10000001,1,1,,110,TRUE,733,0.519615242,,18
  'Dunmanway' to  'COOMATALLIN',,914,922,9,1.86E-01,2.96E-01,1.58E+01,1.674,0,0.411939417,20,14.27,1,1,,110,TRUE,732,0.519615242,,18
 'Skibbereen' to   'CurabweeT',,929,928,16.2,3.73E-01,3.92E-01,9.56E+00,6.0426,0,0.299310534,38,19.69999998,1,1,,110,TRUE,731,0.395029132,,26
  'Skibereen' to  'LahanaghtHil',,930,927,12,0.22,0.35,1.99E+01,2.64,0,0.411939417,20,14.27,1,1,,110,TRUE,730,0.519615242,,18
  'Dunmanway' to   'Coomleagh',,931,107,13.5,0.22,3.50E-01,2.36E+01,2.97,0,0.461880215,10,7.999999994,1,1,,110,TRUE,729,0.519615242,,9
 'Roscarbery' to  'Skibbereen',,932,929,17.9,3.73E-01,3.92E-01,9.83E+00,6.6767,0,0.240056165,38,15.80000003,1,1,,110,TRUE,728,0.349448847,,23
  'Dunmanway' to    'DUNMANWA',,936,913,12,4.71E-02,1.10E-01,2.90E+02,0.5652,0,0.670030181,38,44.10000001,1,1,,110,TRUE,727,0.668510838,,44
  'Dunmanway' to   'Dunmanway',,937,936,0.001,5,10,3.18E+04,0.005,0,15.17823471,38,999.0000001,1,1,,110,TRUE,726,15.17823471,,999
  'Dunmanway' to   'CurabweeT',,937,928,5,0.4329112,0.45486,13.22618373,2.164556,0,0.299310534,38,19.69999998,1,1,,110,TRUE,725,0.395029132,,26
  'Dunmanway' to    'Balineen',,937,923,10.3,5.17E-01,4.02E-01,2.14E+00,5.3251,0,0.259807621,38,17.09999999,1,1,,110,TRUE,724,0.319061991,,21
   'DUNMANWA' to  'RENASCREENA',,938,933,5,1.26E-01,2.00E-01,1.08E+01,0.63,0,0.409918691,10,7.099999998,1,1,,110,TRUE,723,0.519615242,,9
        'J21' to      'Duleek',,952,950,6,3.73E-01,3.92E-01,1.10E+01,2.238,0,0.578869612,38,38.1,1,1,,110,TRUE,722,0.774864835,,51
     'Duleek' to  'Rathdrinagh',,956,951,9.5,2.06E-01,3.24E-01,5.88E+01,1.957,0,0.411939417,20,14.27,1,1,,110,TRUE,721,0.519615242,,18
     'Duleek' to  'Knockharley_',,956,51,6.7,2.20E-01,3.50E-01,2.37E+01,1.474,0,0.411939417,20,14.27,1,1,,110,TRUE,720,0.519615242,,18
      'Slane' to  'Grangegeeth',,957,954,0.52,0.22,0.35,6.12E+02,0.1144,0,0.409918691,10,7.099999998,1,1,,110,TRUE,719,0.519615242,,9
 'Rathmullen' to  'Meath Waste',,958,949,4.86,4.72E-02,1.10E-01,2.90E+02,0.229392,0,0.670030181,38,44.10000001,1,1,,110,TRUE,718,0.668510838,,44
  'Drybridge' to  'Rathmullen',,961,958,3.01,7.82E-02,2.12E-01,1.76E+02,0.235382,0,0.670030181,38,44.10000001,1,1,,110,TRUE,717,0.668510838,,44
  'Drybridge' to       'Slane',,961,955,11.2,1.33E+00,1.52E+00,0,14.896,0,0.188398509,38,12.40000001,1,1,,110,TRUE,716,0.227901422,,15
  'Drybridge' to         'J21',,961,952,2.5,1.22E-01,3.56E-01,1.77E+01,0.305,0,0.577350269,38,37.99999999,1,1,,110,TRUE,715,0.744477979,,49
  'Drybridge' to     'Dunleer',,961,948,13.2,3.71E-01,3.90E-01,1.17E+01,4.8972,0,0.578869612,38,38.1,1,1,,110,TRUE,714,0.668510838,,44
  'Drybridge' to  'Termonfeckin',,961,939,1,2.21E-01,3.51E-01,2.20E+01,0.221,0,0.510499185,38,33.59999997,1,1,,110,TRUE,713,0.607737126,,40
      'Slane' to     'Dunmore',,962,959,4.5,2.19E-01,3.47E-01,3.53E+01,0.9855,0,0.317542648,20,11,1,1,,110,TRUE,712,0.317542648,,11
    'Dunleer' to  'Whiteriver',,963,960,0.001,5,10,3.18E+04,0.005,0,57.67729189,10,999,1,1,,110,TRUE,711,57.67729189,,999
   'SPA ROAD' to     'DOON WF',,971,969,6.5,4.71E-02,1.10E-01,2.92E+02,0.30615,0,0.670030181,38,44.10000001,1,1,,110,TRUE,710,0.668510838,,44
 'Lawlesstown' to     'Lawclon',,972,970,1.6,0.22,0.35,4.97E+01,0.352,0,0.411939417,20,14.27,1,1,,110,TRUE,709,0.519615242,,18
       'Doon' to    'SPA ROAD',,974,971,9.1,2.75E-01,3.11E-01,9.28E+01,2.5025,0,0.154972967,38,10.2,1,1,,110,TRUE,708,0.319061991,,21
       'Doon' to  'Lawlesstown',,974,968,4.7,1.22E-01,3.56E-01,1.41E+01,0.5734,0,0.774864835,38,51,1,1,,110,TRUE,707,0.911605688,,60
   'Spa Road' to  'Glasha Hydro',,976,973,0.001,5,10,3.18E+04,0.005,0,57.67729189,10,999,1,1,,110,TRUE,706,57.67729189,,999
  'Dungarvan' to   'Dungarvan',,981,979,10,0.22,0.35,2.39E+01,2.2,0,0.411939417,20,14.27,1,1,,110,TRUE,705,0.519615242,,18
  'Dungarvan' to   'Dungarvan' 2,,982,980,2.3,1.22E-01,3.56E-01,1.92E+01,0.2806,0,0.774864835,38,51,1,1,,110,TRUE,704,0.911605688,,60
   'Drumline' to    'Drumline',,989,988,0.9,2.20E-01,3.50E-01,8.85E+01,0.198,0,0.411939417,20,14.27,1,1,,110,TRUE,703,0.519615242,,18
 'Castleblaney' to  'Grove Hill',,994,46,7.18,3.38E-01,3.61E-01,3.99E+01,2.42684,0,0.240056165,38,15.80000003,1,1,,110,TRUE,702,0.349448847,,23
       'Bush' to  'Jenkinstown',,997,995,7.2,2.20E-01,3.50E-01,1.23E+01,1.584,0,0.510499185,38,33.59999997,1,1,,110,TRUE,701,0.607737126,,40
    'Dundalk' to        'Bush',,998,997,23.8,3.73E-01,3.92E-01,9.28E+00,8.8774,0,0.154972967,38,10.2,1,1,,110,TRUE,700,0.319061991,,21
    'Dundalk' to  'Jenkinstown',,998,995,13.4,3.72E-01,3.93E-01,8.24E+00,4.9848,0,0.154972967,38,10.2,1,1,,110,TRUE,699,0.319061991,,21
    'Dundalk' to  'Castleblaney',,998,994,25,4.70E-02,1.10E-01,2.90E+02,1.175,0,0.670030181,38,44.10000001,1,1,,110,TRUE,698,0.668510838,,44
    'Corduff' to    'Macetown',,1003,1545,5,0.06534,0.23958,85.75959746,0.3267,0,0.514366603,110,97.99999991,1,1,,110,TRUE,697,0.650831213,430,124
    'Corduff' to  'Snughborough',,1003,1460,1.77,6.90E-02,1.85E-01,2.30E+02,0.12213,0,0.719063517,110,137,1,1,,110,TRUE,696,1.249176037,429,238
 'CastleView' to      'castle',,1019,1018,0.001,5,10,3.18E+04,0.005,0,577.2925342,10,9999.000001,1,1,,110,TRUE,695,577.2925341,,9999
   'Cunghill' to   'Cung_scom',,1023,1024,0.001,5,10,3.18E+04,0.005,0,28.83864595,20,999.0000001,1,1,,110,TRUE,694,28.83864595,,999
   'Cunghill' to    'Cunghill',,1027,1026,18.3,8.49E-02,1.05E-01,3.70E+02,1.55367,0,0.522501994,20,18.10000001,1,1,,110,TRUE,693,0.519615242,,18
   'Cunghill' to    'Cunghill' 2,,1027,1023,18.3,8.49E-02,1.05E-01,3.70E+02,1.55367,0,0.522501994,20,18.10000001,1,1,,110,TRUE,692,0.519615242,,18
 'BALLYSHO 20' to    'Cronelea',,1039,1036,4.4,0.22,0.35,1.81E+01,0.968,0,0.411939417,20,14.27,1,1,,110,TRUE,691,0.519615242,,18
     'Carlow' to      'TULLOW',,1040,1038,8.3,3.73E-01,3.92E-01,9.28E+00,3.0959,0,0.154972967,38,10.2,1,1,,110,TRUE,690,0.319061991,,21
     'TULLOW' to    'Cronelea',,1041,1036,14.6,7.78E-02,0.1,3.50E+02,1.13588,0,0.522501994,20,18.10000001,1,1,,110,TRUE,689,0.519615242,,18
 'Charleville' to  'Castlepo_ph1',,1044,141,5.2,4.72E-02,1.10E-01,2.92E+02,0.24544,0,0.670030181,38,44.10000001,1,1,,110,TRUE,688,0.668510838,,44
 'Charleville' to  'Knocknatalli',,1044,82,1.76,3.73E-01,3.92E-01,1.25E+01,0.65648,0,0.384393732,38,25.30000001,1,1,,110,TRUE,687,0.455802844,,30
 'Charleville' to  'Charleville',,1045,1044,10.47,4.70E-02,1.10E-01,2.91E+02,0.49209,0,0.670030181,38,44.10000001,1,1,,110,TRUE,686,0.668510838,,44
    'Milford' to    'Kilmeedy',,1046,1043,9.8,0.22,3.50E-01,2.43E+01,2.156,0,0.411939417,20,14.27,1,1,,110,TRUE,685,0.519615242,,18
    'Milford' to  'Kilbereh_ph1',,1046,57,8.2,0.22,3.50E-01,1.94E+01,1.804,0,0.411939417,20,14.27,1,1,,110,TRUE,684,0.519615242,,18
 'Charleville' to     'Milford',,1047,1042,12.1,2.20E-01,3.50E-01,1.09E+01,2.662,0,0.510499185,38,33.59999997,1,1,,110,TRUE,683,0.607737126,,40
 'Charleville' to  'Rathnacally',,1048,109,0.48,0.085,0.105,4.98E+02,0.0408,0,0.522501994,20,18.10000001,1,1,,110,TRUE,682,0.519615242,,18
 'Charleville' to     'Boolard',,1048,108,7,8.49E-02,1.05E-01,3.75E+02,0.5943,0,0.522501994,20,18.10000001,1,1,,110,TRUE,681,0.519615242,,18
  'Castlerea' to     'Rathleg',,1055,1053,1.1,7.78E-02,0.1,5.79E+02,0.08558,0,0.692820323,10,12,1,1,,110,TRUE,680,0.692820323,,12
 'Carrick on S' to       'Boyle',,1056,1054,14.69,3.68E-01,3.91E-01,1.05E+01,5.40592,0,0.249172221,38,16.39999997,1,1,,110,TRUE,679,0.334255419,,22
 'Carrick on S' to   'Castlerea',,1056,1052,31.3,3.73E-01,3.92E-01,9.83E+00,11.6749,0,0.384393732,38,25.30000001,1,1,,110,TRUE,678,0.455802844,,30
 'Carrick on S' to      'Mohill',,1056,1051,20.024,3.45E-01,3.69E-01,3.19E+01,6.90828,0,0.249172221,38,16.39999997,1,1,,110,TRUE,677,0.334255419,,22
      'Ferns' to  'Raheenagee',,1068,1067,4.2,2.20E-01,3.50E-01,1.05E+01,0.924,0,0.510499185,38,33.59999997,1,1,,110,TRUE,676,0.607737126,,40
    'Clifden' to   'Rossaveel',,1074,1073,3.55,8.50E-02,1.05E-01,3.80E+02,0.30175,0,0.522501994,20,18.10000001,1,1,,110,TRUE,675,0.519615242,,18
     'CLOON2' to  'Cloonascragh',,1081,1078,2,0.22,0.35,3.98E+01,0.44,0,0.721687836,20,24.99999998,1,1,,110,TRUE,674,0.721687837,,25
      'Cloon' to       'Cloon',,1082,1079,7.7,0.22,3.50E-01,4.13E+01,1.694,0,0.409918691,10,7.099999998,1,1,,110,TRUE,673,0.519615242,,9
 'Cookstown A' to  'Fortunestown',,1086,1636,4.4,1.10E-01,2.92E-01,1.16E+02,0.484,0,0.650831213,110,124.0000001,1,1,,110,TRUE,672,0.692820323,428,132
 'Cookstown A' to  'Inch_Country',,1086,1604,6.17,1.08E-01,3.04E-01,1.25E+02,0.66636,0,0.713814878,110,135.9999999,1,1,,110,TRUE,671,0.734809434,427,140
 'CKM_Country' to   'Cookstown',,1097,1702,16,1.01E-01,3.15E-01,9.92E+01,1.616,0,0.682323045,110,129.9999999,1,1,,110,TRUE,670,0.682323046,426,130
 'CKM_Country' to   'Fass West',,1097,1646,7.5,1.89E-01,4.16E-01,8.43E+00,1.4175,0,0.551107075,110,105,1,1,,110,TRUE,669,0.645582574,425,123
 'CKM_Country' to  'Fassaroe_T',,1097,860,2.9,1.92E-01,4.17E-01,9.09E+00,0.5568,0,0.551107075,110,105,1,1,,110,TRUE,668,0.645582574,424,123
      'Cahir' to       'CAHIR',,1106,1105,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,667,151.9190879,,9999
      'Cahir' to      'Cashel',,1106,1104,15.2,3.73E-01,3.92E-01,1.02E+01,5.6696,0,0.384393732,38,25.30000001,1,1,,110,TRUE,666,0.455802844,,30
      'Cahir' to  'Ballymacadam',,1106,1103,10.6,3.73E-01,3.92E-01,1.04E+01,3.9538,0,0.384393732,38,25.30000001,1,1,,110,TRUE,665,0.455802844,,30
  'Cath Fall' to     'Clogher',,1117,1615,26.069,7.57E-02,4.10E-01,1.60E+01,1.9734233,0,0.934257708,110,177.9999999,1,1,,110,TRUE,664,1.096965512,423,209
  'Cath Fall' to   'Srananagh',,1117,1466,49.2,7.60E-02,3.93E-01,9.34E+00,3.7392,0,0.934257708,110,177.9999999,1,1,,110,TRUE,663,1.102214151,422,210
  'Cath Fall' to     'Anarget',,1118,1114,0.001,5,10,3.18E+04,0.005,0,0.151934281,38,9.999999976,1,1,,110,FALSE,662,0.151934281,,10
  'Cath Fall' to       'Acres',,1118,34,6.4,4.72E-02,1.10E-01,2.93E+02,0.30208,0,0.670030181,38,44.10000001,1,1,,110,TRUE,661,0.668510838,,44
   'Corderry' to    'Corderry' 3,,1162,1159,11,0.22,3.50E-01,7.23E+00,2.42,0,0.411939417,20,14.27,1,1,,110,TRUE,660,0.519615242,,18
   'Corderry' to    'Corderry' 2,,1162,1158,0.25,2.21E-01,3.50E-01,3.18E+02,0.05525,0,0.411939417,20,14.27,1,1,,110,TRUE,659,0.519615242,,18
   'Corderry' to  'Caranne Hill',,1163,1161,2.5,2.20E-01,3.50E-01,3.18E+01,0.55,0,0.411939417,20,14.27,1,1,,110,TRUE,658,0.519615242,,18
   'Corderry' to     'Geevagh' 2,,1163,1157,11.9,1.88E-01,2.96E-01,9.35E+01,2.2372,0,0.411939417,20,14.27,1,1,,110,TRUE,657,0.519615242,,18
   'Corderry' to    'Corderry',,1164,1162,0.25,2.21E-01,3.50E-01,3.18E+02,0.05525,0,0.411939417,20,14.27,1,1,,110,TRUE,656,0.519615242,,18
   'Corderry' to  'Tullynamoyla',,1164,1156,5.6,0.22,0.35,1.42E+01,1.232,0,0.411939417,20,14.27,1,1,,110,TRUE,655,0.519615242,,18
   'Corderry' to  'Tullynamoyla' 2,,1164,1145,7.1,8.49E-02,1.05E-01,3.70E+02,0.60279,0,0.522501994,20,18.10000001,1,1,,110,TRUE,654,0.519615242,,18
   'Corderry' to  'Tullynamoyla' 3,,1164,1143,7.1,8.49E-02,1.05E-01,3.70E+02,0.60279,0,0.522501994,20,18.10000001,1,1,,110,TRUE,653,0.519615242,,18
   'Corderry' to  'Black Banks',,1165,1160,7,0.22,3.50E-01,1.14E+01,1.54,0,0.411939417,20,14.27,1,1,,110,TRUE,652,0.519615242,,18
   'Corderry' to     'Geevagh',,1165,1157,0.75,2.20E-01,3.50E-01,1.06E+02,0.165,0,0.411939417,20,14.27,1,1,,110,TRUE,651,0.519615242,,18
    'Coolroe' to   'Garravagh',,1169,1168,2.2,0.128,1.83E-01,2.90E+02,0.2816,0,0.411939417,20,14.27,1,1,,110,TRUE,650,0.519615242,,18
    'Coolroe' to  'Carrigyknave',,1169,1167,3.3,1.59E-01,2.39E-01,1.93E+02,0.5247,0,0.411939417,20,14.27,1,1,,110,TRUE,649,0.519615242,,18
   'Clonkeen' to  'Coomagearlah',,1170,1686,6.3,7.68E-02,3.94E-01,1.15E+01,0.48384,0,0.934257708,110,177.9999999,1,1,,110,TRUE,648,0.997241374,421,190
   'Clonkeen' to      'Garrow',,1170,1624,15.17,7.52E-02,6.77E-02,2.37E+02,1.140784,0,0.629836657,110,119.9999999,1,1,,110,TRUE,647,0.629836658,420,120
 'Clashavoon' to     'Macroom',,1171,1535,5.66,7.70E-02,3.93E-01,9.26E+00,0.43582,0,0.845030849,110,161.0000001,1,1,,110,TRUE,646,1.007738652,92,192
 'Ardnagappary' to  'Letterkenny',,1177,654,0.001,5,10,3.18E+04,0.005,0,15.17823471,38,999.0000001,1,1,,110,FALSE,645,15.17823471,,999
 'Ardnagappary' to  'Cronalag_ph2',,1178,73,3.5,2.20E-01,3.50E-01,2.27E+01,0.77,0,0.411939417,20,14.27,1,1,,110,TRUE,644,0.519615242,,18
     'KILVOY' to  'Carrigcannon',,1187,1185,5,1.22E-01,3.56E-01,1.32E+01,0.61,0,0.774864835,38,51,1,1,,110,TRUE,643,0.911605688,,60
  'Boggeragh' to         'ESK',,1191,1189,8,3.73E-01,3.92E-01,1.10E+01,2.984,0,0.154972967,38,10.2,1,1,,110,TRUE,642,0.319061991,,21
  'Boggeragh' to  'Carrigcannon',,1191,1185,3.7,4.72E-02,1.10E-01,2.92E+02,0.17464,0,0.670030181,38,44.10000001,1,1,,110,TRUE,641,0.668510838,,44
  'Boggeragh' to  'Boggerag ph2',,1192,1190,0.001,5,10,3.18E+04,0.005,0,28.83864595,20,999.0000001,1,1,,110,TRUE,640,28.83864595,,999
     'Banoge' to      'Banoge',,1197,1196,3.3,6.10E-02,9.70E-02,4.83E+01,0.2013,0,0.969948452,20,33.59999999,1,1,,110,TRUE,639,1.154700538,,40
  'Bracetown' to      'Clonee',,1200,1731,2.5,1.96E-01,3.87E-01,218.345227,0.49,0,1.495862061,220,570,1,1,,110,TRUE,638,1.495862061,417,570
  'Bracetown' to      'Clonee' 2,,1200,1731,2.5,1.96E-01,3.87E-01,218.345227,0.49,0,1.495862061,220,570,1,1,,110,TRUE,637,1.495862061,417,570
 'DromadaBeg' to  'Cloghanalesk',,1209,1208,8.55,9.52E-02,1.24E-01,3.45E+02,0.81396,0,0.411939417,20,14.27,1,1,,110,TRUE,636,0.519615242,,18
 'Cloghboola' to  'Glanruddery',,1212,1210,3.7,3.89E-02,5.01E-02,7.10E+02,0.14393,0,0.819837382,20,28.39999999,1,1,,110,TRUE,635,0.808290377,,28
 'Cloghboola' to  'DromadaBeg',,1212,1209,0.5,2.21E-01,3.50E-01,1.59E+02,0.1105,0,0.411939417,20,14.27,1,1,,110,TRUE,634,0.519615242,,18
 'Cloghboola' to  'Glanruddery' 2,,1212,1207,3.7,3.89E-02,5.01E-02,7.10E+02,0.14393,0,0.819837382,20,28.39999999,1,1,,110,TRUE,633,0.808290377,,28
 'Cloghboola' to  'Glantaunyalk',,1212,1206,1.45,8.50E-02,1.05E-01,3.85E+02,0.12325,0,0.522501994,20,18.10000001,1,1,,110,TRUE,632,0.519615242,,18
 'Butlerstown' to     'Tramore',,1221,1219,16.8,1.14E-01,3.31E-01,3.93E+01,1.9152,0,0.577350269,38,37.99999999,1,1,,110,TRUE,631,0.668510838,,44
    'Tramore' to  'Coolnagappog',,1223,1220,3.5,4.70E-02,0.11,0,0.1645,0,0.669726312,10,11.6,1,1,,110,TRUE,630,0.692820323,,12
  'Barrymore' to    'barrymor',,1228,1227,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,629,151.9190879,,9999
  'Barrymore' to  'Farran South',,1228,1226,0.5,1.24E-01,3.58E-01,4.41E+01,0.062,0,0.577350269,38,37.99999999,1,1,,110,TRUE,628,0.744477979,,49
  'Barrymore' to    'BARRANAF',,1228,1225,13.7,1.22E-01,3.56E-01,1.03E+01,1.6714,0,0.577350269,38,37.99999999,1,1,,110,TRUE,627,0.744477979,,49
  'Dunderrow' to     'Kinsale',,1236,1235,2.6,1.82E-01,3.65E-01,8.45E+00,0.4732,0,0.45884153,38,30.20000002,1,1,,110,TRUE,626,0.592543697,,39
     'Bandon' to      'Bandon',,1241,1240,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,625,151.9190879,,9999
     'Bandon' to  'Enniskeane',,1241,1238,15.3,4.97E-01,4.00E-01,2.88E+00,7.6041,0,0.154972967,38,10.2,1,1,,110,TRUE,624,0.319061991,,21
     'Bandon' to  'Knockbrogan',,1241,1237,16.2,1.22E-01,3.56E-01,1.09E+01,1.9764,0,0.577350269,38,37.99999999,1,1,,110,TRUE,623,0.744477979,,49
     'Bandon' to   'Dunderrow',,1241,1236,15.7,1.82E-01,3.65E-01,1.41E+00,2.8574,0,0.45884153,38,30.20000002,1,1,,110,TRUE,622,0.592543697,,39
 'Enniskeane' to  'Kilvinan ph1',,1242,1239,9.1,2.19E-01,3.48E-01,2.63E+01,1.9929,0,0.381051178,20,13.20000001,1,1,,110,TRUE,621,0.375277675,,13
  'Blackrock' to  'Elm_Park_Dev',,1245,59,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,620,151.9190879,,9999
  'Blackrock' to  'Elm_Park_Dev' 2,,1245,58,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,619,151.9190879,,9999
 'Bellacorick' to  'Bellacorick' 2,,1249,1247,0.001,5,10,3.18E+04,0.005,0,0.577350269,38,37.99999999,1,1,,110,TRUE,618,0.744477979,,49
 'Bellacorick' to   'Belmullet',,1255,1254,16.6,3.73E-01,3.92E-01,9.28E+00,6.1918,0,0.299310534,38,19.69999998,1,1,,110,TRUE,617,0.395029132,,26
 'Bellacorick' to  'Bellacorick' 3,,1255,1252,6.6,3.73E-01,3.92E-01,1.00E+01,2.4618,0,0.299310534,38,19.69999998,1,1,,110,TRUE,616,0.395029132,,26
 'Bellacorick' to  'Bellacorick' 4,,1258,1250,5.8,3.73E-01,3.92E-01,1.14E+01,2.1634,0,0.299310534,38,19.69999998,1,1,,110,TRUE,615,0.395029132,,26
 'Bellacorick' to  'Bellacorick' 5,,1258,1249,7.2,1.22E-01,3.56E-01,1.23E+01,0.8784,0,0.774864835,38,51,1,1,,110,TRUE,614,0.911605688,,60
      'AMETS' to   'Belmullet',,1260,1256,8,0.22,0.35,1.99E+01,1.76,0,0.411939417,20,14.27,1,1,,110,TRUE,613,0.519615242,,18
 'Bellacorick' to  'Srahnakilly',,1261,1259,4,3.06E-02,1.33E-01,2.89E+02,0.1224,0,0.981495458,110,187.0000001,1,1,,110,TRUE,612,1.170446455,57,223
 'Bellacorick' to   'Croaghaun',,1261,1257,3.3,7.70E-02,3.96E-01,9.59E+00,0.2541,0,0.934257708,110,177.9999999,1,1,,110,TRUE,611,1.102214151,415,210
 'Bellacorick' to  'Bellacorick',,1263,1255,4.9,1.22E-01,3.56E-01,1.35E+01,0.5978,0,0.510499185,38,33.59999997,1,1,,110,TRUE,610,0.607737126,,40
 'Bellacorick' to  'Bunnahow10',,1265,1262,5.2,0.22,0.35,6.12E+01,1.144,0,0.409918691,10,7.099999998,1,1,,110,TRUE,609,0.519615242,,9
   'Deerpark' to     'Carrick',,1272,1271,4.05,2.20E-01,3.50E-01,1.09E+01,0.891,0,0.510499185,38,33.59999997,1,1,,110,TRUE,608,0.607737126,,40
  'Ballydine' to    'Deerpark',,1274,1272,7.8,1.82E-01,3.65E-01,2.83E+00,1.4196,0,0.45884153,38,30.20000002,1,1,,110,TRUE,607,0.592543697,,39
    'Binbane' to  'Cork-KillinT',,1277,1289,4,6.97E-02,1.84E-01,2.09E+02,0.2788,0,0.670030181,38,44.10000001,1,1,,110,TRUE,606,0.668510838,,44
 'Meenachullan' to  'Meenachu_ph2',,1278,76,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,605,151.9190879,,9999
 'Corkermore' to  'Corkemor_ph2',,1288,45,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,604,151.9190879,,9999
