name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,,g_us_per_km,max_i_ka,kv_from,MVA_sp,df,parallel,type,max_loading_percent,in_service,line_id,wp_max_i_ka,,MVA_wp
Clonymeath to Craddanstown,,1821,1814,18.18,7.60E-02,3.93E-01,9.26E+00,,0,0.934257708,110,177.9999999,1,1,,110,TRUE,997,1.102214151,501,210
Clonymeath to Blundelstown,,1821,1751,14,7.60E-02,3.93E-01,9.26E+00,,0,0.934257708,110,177.9999999,1,1,,110,TRUE,996,1.102214151,500,210
Garr to Derrygreenagh,,1829,1830,5,7.60E-02,3.93E-01,9.26E+00,,0.00E+00,0.934257708,110,177.9999999,1,1,,110,TRUE,995,1.102214151,499,210
Yellow River to Garr,,1804,1829,3,7.60E-02,3.93E-01,9.26E+00,,0.00E+00,0.934257708,110,177.9999999,1,1,,110,TRUE,994,1.102214151,498,210
Newbury to Metro North,,1516,1828,2.5,0.0273,0.132,292,0.47229,0,0.997241374,110,190,1,1,,110,TRUE,993,0.997241374,497,190
Metro Airpor to Metro North,,1827,1828,3,2.73E-02,1.32E-01,2.92E+02,0.47229,0,0.997241374,110,190,1,1,,110,TRUE,992,0.997241374,496,190
     'Arklow' to    'Ballybeg 220',,1768,1754,21.946,5.60E-02,4.12E-01,9.98E+00,1.228976,0,1.138954622,220,434,1,1,,110,TRUE,991,1.346275855,495,513
   'Ballybeg' to  'CKM_Country 220',,1754,1706,32.3,5.60E-02,4.12E-01,9.98E+00,1.8088,0,1.138954622,220,434,1,1,,110,TRUE,990,1.346275855,494,513
     'Kilkenny' to    'White Hill',,1589,1825,15.3,1.88E-01,4.16E-01,8.43E+00,2.8764,0,0.519615242,110,98.99999995,1,1,,110,TRUE,989,0.635085296,493,121
     'Kellis' to    'White Hill',,1580,1825,19,1.88E-01,4.16E-01,8.43E+00,3.572,0,0.519615242,110,98.99999995,1,1,,110,TRUE,988,0.635085296,492,121
     'Meath hill' to  'Millfarm',,1542,1824,14.387,1.21E-01,3.99E-01,1.22E+01,1.740827,0,0.519615242,110,98.99999995,1,1,,110,TRUE,987,0.635085296,491,121
     'Gorman' to  'Millfarm',,1619,1824,12,1.21E-01,3.99E-01,1.22E+01,1.452,0,0.519615242,110,98.99999995,1,1,,110,TRUE,986,0.635085296,490,121
 'Clonymeath' to    'Culmullin',,1821,1822,6.5,7.60E-02,3.93E-01,9.26E+00,0.494,0,0.934257708,110,177.9999999,1,1,,110,TRUE,985,1.102214151,489,210
     'maynooth' to  'Culmullin',,1540,1823,17.189,5.62E-02,4.20E-01,8.60E+00,0.9660218,0,0.918511792,220,350,1,1,,110,TRUE,984,1.144203261,488,436
     'Gorman' to  'Culmullin',,1618,1823,25,5.62E-02,4.20E-01,8.60E+00,1.405,0,0.918511792,220,350,1,1,,110,TRUE,983,1.144203261,487,436
 'Portlaoise' to  'Kilcormac',,1495,1820,37.95,0.0762,0.393,9.26,2.89179,0,0.934257708,110,177.9999999,1,1,,110,TRUE,982,1.102214151,486,210
 'Derrycarney' to  'Kilcormac',,1558,1820,10.5,0.0762,0.393,9.26,0.8001,0,0.934257708,110,177.9999999,1,1,,110,TRUE,981,1.102214151,485,210
      'Coom Green' to    'Barrym T',,1826,1224,12.5,7.60E-02,3.93E-01,9.26E+00,0.95,0,0.934257708,110,177.9999999,1,1,,110,TRUE,980,1.102214151,484,210
  'Coolcarrigan' to     'Timahoe',,1819,1448,3,7.60E-02,3.93E-01,9.26E+00,0.228,0,0.934257708,110,177.9999999,1,1,,110,TRUE,979,1.102214151,483,210
  'Coolcarrigan' to     'Blake T',,1819,1305,6,7.60E-02,3.93E-01,9.26E+00,0.456,0,0.934257708,110,177.9999999,1,1,,110,TRUE,978,1.102214151,482,210
  'Rathcobican' to      'Derrygreenagh',,1817,1818,7.5,5.78E-02,4.10E-01,8.97E+00,0.4335,0,1.138954622,220,434,1,1,,110,TRUE,977,1.346275855,481,513
  'Woodland' to    'Rathcobican',,1429,1815,51,0.027504762,0.09168254,11.03756523,1.402742862,0,2.396003617,380,1577,1,1,,110,TRUE,976,2.95360243,480,1944
  'Oldstreet' to    'Rathcobican',,1503,1815,75,0.027504762,0.09168254,11.03756523,2.06285715,0,2.396003617,380,1577,1,1,,110,TRUE,975,2.95360243,479,1944
 'Shannonbridge' to  'Castlelost',,1474,1816,53,7.75E-02,4.29E-01,8.82E+00,4.1075,0,0.70594192,220,269,1,1,,110,TRUE,974,0.929009069,478,354
 'Maynooth A' to  'Castlelost',,1538,1816,52.6,7.75E-02,4.29E-01,8.82E+00,4.0765,0,0.70594192,220,269,1,1,,110,TRUE,973,0.929009069,477,354
 'Mullingar ' to   'Craddanstown',,1523,1814,24,7.60E-02,3.93E-01,9.26E+00,1.824,0,0.934257708,110,177.9999999,1,1,,110,TRUE,972,1.102214151,476,210
 'Blundelstown' to   'Craddanstown',,1751,1814,32.18,7.60E-02,3.93E-01,9.26E+00,2.44568,0,0.934257708,110,177.9999999,1,1,,110,FALSE,971,1.102214151,,210
     'Farranrory' to  'Ballyragget 38',,1813,1812,42,7.61E-02,3.93E-01,9.34E+00,3.1962,0,0.934257708,38,61.49090907,1,1,,110,TRUE,970,1.367408532,,90
    'Lislea' to    'Lisdrum',,1811,1559,21.3,1.88E-01,4.16E-01,8.43E+00,4.0044,0,0.519615242,110,98.99999995,1,1,,110,TRUE,969,0.635085296,474,121
    'Lislea' to    'Shankill',,1811,1472,18,1.88E-01,4.16E-01,8.43E+00,3.384,0,0.519615242,110,98.99999995,1,1,,110,TRUE,968,0.635085296,473,121
  'Portlaoise' to  'Philipstown',,1495,1810,40.14,1.25E-01,4.01E-01,8.93E+00,5.0175,0,0.713814878,110,135.9999999,1,1,,110,TRUE,967,0.834533571,472,159
  'Cushaling' to  'Philipstown',,1689,1810,2,1.25E-01,4.01E-01,8.93E+00,0.25,0,0.713814878,110,135.9999999,1,1,,110,TRUE,966,0.834533571,471,159
 'Tralee' to      'Shrownoen',,1439,1809,31.775,1.81E-01,4.15E-01,9.75E+00,5.850101,0,0.519615242,110,98.99999995,1,1,,110,TRUE,965,0.635085296,470,121
 'Kilpaddoge' to      'Shrownoen',,1572,1809,7.6,1.81E-01,4.15E-01,9.75E+00,5.850101,0,0.519615242,110,98.99999995,1,1,,110,TRUE,964,0.635085296,469,121
 'Coolnabacky' to  'Garrintaggart',,1561,1808,14.55,7.61E-02,3.93E-01,9.34E+00,1.107255,0,0.934257708,110,177.9999999,1,1,,110,TRUE,963,1.102214151,468,210
 'Ballyragget' to  'Garrintaggart',,1741,1808,13.45,7.61E-02,3.93E-01,9.34E+00,1.023545,0,0.934257708,110,177.9999999,1,1,,110,TRUE,962,1.102214151,467,210
 'Mulgeeth' to    'Harristown',,1807,1612,6,8.23E-02,3.95E-01,9.50E+00,0.4938,0,0.545858436,110,103.9999999,1,1,,110,TRUE,961,0.640333935,466,122
 'Mulgeeth' to    'Dunfir_T',,1807,878,6.175,8.23E-02,3.95E-01,9.50E+00,0.5082025,0,0.545858436,110,103.9999999,1,1,,110,TRUE,960,0.640333935,465,122
 'Mullingar' to    'Coole WF',,1523,1806,25.6,7.60E-02,3.93E-01,9.26E+00,1.9456,0,0.934257708,110,177.9999999,1,1,,110,TRUE,959,1.102214151,464,210
 'Ardnacrusha' to    'Carrownagowan',,1780,1805,21.25,7.60E-02,3.93E-01,9.26E+00,1.615,0,0.934257708,110,177.9999999,1,1,,110,TRUE,958,1.102214151,463,210
   'Derryiron' to YellowRiver,,1657,1804,0.001,5,10,3.18E+04,0.005,0,52.48113947,110,9999,1,1,,110,TRUE,957,52.48113947,na,9999
      'Lodgewood' to   'Effernoge',,1551,1803,4.692,7.59E-02,3.91E-01,1.37E+01,0.3561228,0,0.934257708,110,177.9999999,1,1,,110,TRUE,956,1.102214151,462,210
      'Crane' to   'Effernoge',,1697,1803,2,7.59E-02,3.91E-01,1.37E+01,0.1518,0,0.934257708,110,177.9999999,1,1,,110,TRUE,955,1.102214151,461,210
  'Shanonagh' to   'Lanesboro',,1802,1566,41.27,7.60E-02,3.93E-01,9.26E+00,7.75876,0,0.934257708,110,98.99999995,1,1,,110,TRUE,954,1.141870533,460,121
