name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,zone,slack_weight,min_p_mw,max_p_mw,bus_name,type,controllable,max_vm_pu,min_vm_pu,in_service_old_bess
 'Blundelstown',1302,0,1,,-19.72104631,19.72104631,1,FALSE,TRUE,11,0,0,60,13371,23,TRUE,1.1,0.9,
      'Blake',1304,0,1,,-1.640133685,1.640133685,1,FALSE,TRUE,11,0,2,4.99,13271,17,TRUE,1.1,0.9,
 'Scartaglen_2',1310,0,1.05,,-1.2489996,1.2489996,1,FALSE,TRUE,5,0,0,3.8,13172,17,TRUE,1.1,0.9,
 'Coolegrean_g',1311,0,1.05,,-6.080655946,6.080655946,1,FALSE,TRUE,5,0,0,18.5,13171,17,TRUE,1.1,0.9,
 'Scartaglen',1312,0,1,,-11.65185153,11.65185153,1,FALSE,TRUE,5,0,0,35.45,13170,17,TRUE,1.1,0.9,
Millvale PV,1323,0,1,,-2.629472841,2.629472841,1,FALSE,TRUE,9,0,0,8,,23,TRUE,1.1,0.9,
Ballinaclough Solar Farm,1323,0,1,,-2.958156947,2.958156947,1,FALSE,FALSE,9,0,0,9,,23,TRUE,1.1,0.9,
Ballinaclough Solar ph2,1323,0,1,,-13.78172453,13.78172453,1,FALSE,TRUE,9,0,0,42,,23,TRUE,1.1,0.9,
    'KEALKIL',1324,0,1.05,,-2.793814894,2.793814894,1,FALSE,TRUE,6,0,0,8.5,12874,17,TRUE,1.1,0.9,
    'GLANTAC_3',1325,16.6175,1.05,,-6.425774256,6.425774256,1,FALSE,FALSE,6,0,0,19.55,12873,17,TRUE,1.1,0.9,
    'GLANTAC',1325,0,1.05,,-6.425774256,6.425774256,1,FALSE,TRUE,6,0,0,19.55,12873,17,TRUE,1.1,0.9,
    'GLANTAC_4',1326,7.14,1.05,,-2.760946484,2.760946484,1,FALSE,FALSE,6,0,0,8.4,12872,17,TRUE,1.1,0.9,
    'GLANTAC_2',1326,0,1.05,,-2.760946484,2.760946484,1,FALSE,TRUE,6,0,0,8.4,12872,17,TRUE,1.1,0.9,
Curraglass Wind Farm,1329,35.7,1,,-13.8,13.8,1,FALSE,FALSE,6,0,0,42,,17,TRUE,1.1,0.9,
