Element Type,Element Index,Element Name,Intact Loading %,Max Loading %,Cause Element,Cause Index,Cause Element Name
line,202, 'Maynooth B' to  'Turlough Hil',9.213321262269272,11.306611608917787,line,144,     'Cashla' to      'Tynagh'
line,203, 'Maynooth A' to     'Timahoe',70.2529395318694,115.13766309222359,line,978,  'Coolcarrigan' to     'Blake T'
line,204, 'Maynooth A' to    'Grfrat T',38.904890708580076,45.88377921139969,trafo,1024, 'Griffinr' 
line,205,Midleton to Lysaghtstown,75.94912583037477,126.0458745661141,line,372,Knockraha to Lysaghtstown
line,206,  'McDermott' to  'North Quays',102.08000920078975,131.49792174236993,line,356,  'Inchicore' to   'Irishtown'
line,207,  'McDermott' to  'Wolfe Tone',5.672446237022826,43.44309242790326,line,294,  'Fin_urban' to  'Pelletstown'
line,208, 'Misery Hill' to    'Ringsend',39.081234191720384,52.786890412438595,line,351, 'Harolds Cros' to    'Ringsend'
line,209, 'Misery Hill' to     'Trinity',27.550589652604295,41.71070384164093,line,351, 'Harolds Cros' to    'Ringsend'
line,210, 'Aungierstown' to     'Kishoge',3.2350115198490204,13.615378954527285,line,415, 'Castlebagot' to     'Kishoge'
line,211,  'Cureeny T' to      'Nenagh',18.336763800846676,18.216620304367744,line,567, 'Ardnacrusha' to    'Singland'
line,212,  'Cureeny T' to   'BUNKIMALT',12.167855312116819,12.598347914175484,line,567, 'Ardnacrusha' to    'Singland'
line,213,    'Lisheen' to     'Thurles',65.41360372573563,66.62634739840885,line,529, 'Shannonbridg' to    'Timoney'
line,214, 'Liberty St' to      'Marina' 2,10.608098340453559,21.556822658190644,line,449, 'Liberty St' to      'Marina'
line,215, 'Liberty St' to      'Marina',15.444466333174992,31.38355961615153,line,450, 'Liberty St' to      'Marina' 2
line,216,    'Lenalea' to  'Tievebrack',14.961875816955967,24.536423168369677,line,664,  'Cath Fall' to     'Clogher'
line,217, 'Letterkenny' to     'Lenalea',15.275570567156343,24.947429552128543,line,664,  'Cath Fall' to     'Clogher'
line,218, 'Letterkenny' to    'Trillick',16.57881521270745,16.645549217081903,line,447, 'Letterkenny' to     'Lenalea'
line,219, 'Letterkenny' to    'Golagh T',28.31327682034899,49.28811850112611,line,274,   'Drumkeen' to  'Letterkenny'
line,220, 'Derrycarney' to  'Portlaoise',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,221, 'Derrycarney' to    'Dallow T',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,222,    'Lisdrum' to    'Shankill',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,223,    'Lisdrum' to      'LouthB',62.37418502363041,88.27639545272035,line,527,  'Ratrussan' to    'Shankill'
line,224, 'Coolnabacky' to    'Dunstown',12.919668601488581,32.146484592134925,line,976,  'Woodland' to    'Rathcobican'
line,225, 'Coolnabacky' to      'MNYPG3',6.509458994288503,20.197583716971376,line,976,  'Woodland' to    'Rathcobican'
line,226, 'Coolnabacky' to  'Portlaoise',89.72337225353134,174.04345554217545,line,947, 'Derrinlough' to    'Dallow T'
line,227,   'Limerick' to    'Moneteen',15.371196262833006,75.81087916740317,line,40, 'Ballinknocka' to  'Kilpaddoge'
line,228,   'Limerick' to   'Rathkeale',44.96090272815592,68.52957537099915,line,40, 'Ballinknocka' to  'Kilpaddoge'
line,229,      'Louth' to       'Oriel',47.01379005857877,141.75131924581436,line,1051,Paddock to Woodland
line,230,     'LouthA' to  'Mullagharlin',11.785258754507907,17.65021704103709,line,238,    'Dundalk' to      'LouthB'
line,231,     'LouthA' to   'Ratrussan',41.7737904376063,61.4366842319535,line,1064,Arva to Knockanarragh
line,232,  'Lanesboro' to   'Mullingar',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,233,  'Lanesboro' to    'Richmond',95.2495239800868,177.17876456966223,line,422,  'Lanesboro' to    'Richmond' 2
line,234,  'Lanesboro' to    'Richmond' 2,76.85045262216805,179.06361236598116,line,423,  'Lanesboro' to    'Richmond'
line,235,  'Lanesboro' to  'Sliabh Bawn',95.36818640676209,127.54969851928632,line,146,     'Cashla' to    'Flagford'
line,236, 'Castlebagot' to   'Inchicore',7.446627408199877,11.282791672952728,line,1051,Paddock to Woodland
line,237, 'Castlebagot' to  'Maynooth B',26.149438918045043,45.63072098751271,line,418, 'Castlebagot' to  'Maynooth A'
line,238, 'Castlebagot' to  'Maynooth A',30.05705732180789,47.81047395248417,line,419, 'Castlebagot' to  'Maynooth B'
line,239, 'Castlebagot' to   'INCHICORE' 2,5.558102598691201,9.355787364700523,line,420, 'Castlebagot' to   'Inchicore'
line,240, 'Castlebagot' to     'Kishoge',16.670551122121864,16.515879669984916,trafo,935,WDT2101'
line,241,       'KILP' to      'MNYPG1',6.121586723499339,8.438273838457487,line,144,     'Cashla' to      'Tynagh'
line,242, 'Kilpaddoge' to  'Knockanure',20.09908363395546,34.20755562005364,line,412, 'Kilpaddoge' to  'Knockanure' 2
line,243, 'Kilpaddoge' to  'Knockanure' 2,17.67801674716368,32.87829504182771,line,413, 'Kilpaddoge' to  'Knockanure'
line,244, 'Kilpaddoge' to      'Mnyp B',6.285063446579627,9.248623016557925,trafo,936,Kilpaddo'
line,245, 'Kilpaddoge' to  'Moneypoint',6.283309272461571,9.279308640182977,trafo,936,Kilpaddo'
line,246, 'Kilpaddoge' to     'Tarbert' 3,9.987437066971285,19.88201232251005,trafo,831,OST4201'
line,247, 'Kilpaddoge' to  'Knockanure' 110kV,54.99679925209454,66.3858789221655,line,413, 'Kilpaddoge' to  'Knockanure'
line,248, 'Kilpaddoge' to   'Rathkeale',13.9057735936462,27.413641155126246,line,40, 'Ballinknocka' to  'Kilpaddoge'
line,249, 'Kilpaddoge' to     'Tarbert' 2,42.12694645238162,78.33151108817191,line,402, 'Kilpaddoge' to     'Tarbert' 4
line,250, 'Kilpaddoge' to      'Tralee',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,251, 'Kilpaddoge' to     'Tarbert' 4,44.12930348245283,79.931892842747,line,404, 'Kilpaddoge' to     'Tarbert' 2
line,252,    'Kilmore' to     'Newbury',46.98176205598239,72.76415248226046,line,321,     'Grange' to     'Newbury'
line,253,    'Kilmore' to  'Poppintree',9.685117763956221,29.45919860495231,trafo,1193,BLG2101'
line,254, 'Killoteran' to   'Waterford',13.94690556887593,24.50524510347174,line,940,   'Rosspile' to     'Wexford'
line,255, 'Kellystown' to  'Maynooth A',8.456826927831553,23.960512363417493,line,1051,Paddock to Woodland
line,256, 'Kellystown' to    'Woodland',9.270579900819861,16.379740449212218,line,397, 'Kellystown' to  'Maynooth A'
line,257,     'Kellis' to    'Kilkenny',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,258, 'Ballynahulla' to      'Cordal',14.690085336530432,16.227846971817797,line,194, 'Charleville' to      'Mallow'
line,259, 'Ballynahulla' to    'Glenlara',38.48562375829924,66.81309960135097,line,194, 'Charleville' to      'Mallow'
line,260, 'Knockumber' to       'Navan',27.782394053904998,29.29453626786253,trafo,956, 'Knockumb' 
line,261, 'Knockeragh' to    'Outagh T',14.7453512273651,31.132278240703627,line,57, 'Ballyvouskil' to  'Ballynahulla'
line,262,   'Killonan' to   'Knockraha',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,263,   'Killonan' to  'Shannonbridg',20.712399729559937,41.462024019432874,line,973, 'Maynooth A' to  'Castlelost'
line,264,   'Killonan' to  'Kilpaddoge',4.674883096986949,16.855789163775874,line,1023,   Coom Green to   'Killonan'
line,265,   'Killonan' to    'Limerick',6.951486661047768,56.33148436462635,line,567, 'Ardnacrusha' to    'Singland'
line,266,   'Killonan' to   'Cureeny T',19.637800247671713,20.182981940142493,line,567, 'Ardnacrusha' to    'Singland'
line,267,   'Killonan' to    'Singland',58.18394070191641,98.58008648245217,line,6, 'Ardnacrusha' to    'Limerick'
line,268,    'Reamore' to      'Tralee',14.402659494038748,6.65483822341715,line,964, 'Kilpaddoge' to      'Shrownoen'
line,269,    'Kilteel' to  'Maynooth A',58.784265064393146,148.91349512820676,line,73,     'Baroda' to   'Newbridge'
line,270,    'Kilteel' to     'Monread',52.950869591393044,95.72432359126238,line,379,    'Kilteel' to  'Maynooth A'
line,271,   'Kilbarry' to   'Knockraha',3.9547542312776462,15.91169345218732,line,777,     'Kilnap' to      'Marina'
line,272,   'Kilbarry' to      'Marina',9.902789761295258,32.994442680156276,line,777,     'Kilnap' to      'Marina'
line,273,  'Knockraha' to    'Midleton',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,274,  'Knockraha' to   'Woodhouse',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,275,Knockraha to Lysaghtstown,54.36491876846466,126.95573036249297,line,464,Midleton to Lysaghtstown
line,276,  'Knockraha' to     'Raffeen',48.47837152837894,62.02136088626338,line,1062,   Offshore  to   'Knockraha'
line,277,  'Knockraha' to  'Monatooreen',2.7598939685903825,2.7635723866480175,line,372,Knockraha to Lysaghtstown
line,278,  'Knockraha' to    'Barrym T',12.738144060586626,61.82666615017578,line,169,      'Cahir' to        'Doon'
line,279, 'Knockanure' to  'Ballynahulla',14.032276256694542,21.17090871443474,line,1022,   Coom Green to   'Knockraha'
line,280, 'Knockanure' to       'Trien',30.407775425256496,49.817766721272996,line,360, 'Knockanure' to       'Trien' 2
line,281, 'Knockanure' to       'Trien' 2,46.86953753226326,93.94568509513263,line,361, 'Knockanure' to       'Trien'
line,282,  'Irishtown' to  'Shellybanks',42.63341145442489,48.19471627049902,line,356,  'Inchicore' to   'Irishtown'
line,283, 'Inch_Country' to  'YellowMeadow',41.23415005268743,48.98356287996582,line,343, 'Grange Castl' to  'Inch_Country' 2
line,284,  'Inchicore' to   'Irishtown',66.76976961968639,98.12325208582168,line,177, 'Carrickmines' to   'Irishtown'
line,285,  'Inch_City' to    'Milltown',34.85786778332948,52.83423517534972,line,356,  'Inchicore' to   'Irishtown'
line,286,  'Iniscarra' to     'Macroom',5.11643370506761,14.412978211984568,line,125, 'Clashavoon' to   'Knockraha'
line,287, 'Heuston Squa' to   'Inch_City',9.735922436518022,19.154541216692497,line,354,  'Inch_City' to    'Milltown'
line,288, 'Harolds Cros' to    'Ringsend',35.732290593277405,58.328796078364256,line,461, 'Misery Hill' to    'Ringsend'
