Bus_ID,Bus_Name,Cum_sOTDF,Avg_sOTDF,Med_sOTDF,Max_sOTDF,Min_sOTDF,Circuit_Involved_max,Scaled_OTDF_Contribution_max,Cont_Loading_x,Percent Reduction_max,Circuit_Involved_min,Scaled_OTDF_Contribution_min,Cont_Loading_y,Percent Reduction_min
1597,Knockraha,20.12304111399733,1.1837083008233724,2.089590202660896,8.072036850248782,-5.115644899426863,''Cahir' to        'Doon'',8.072036850248782,140.62618463464352,415.0785035226103,''Coolnabacky' to  'Portlaoise'',-5.115644899426863,174.04345554217545,-387.3794999750072
1598,Knockanure,0.9171945509930937,0.06551389649950669,-1.235566946300643,2.8721119289508668,-2.4903874258748466,''McDermott' to  'North Quays'',2.8721119289508668,131.49792174236993,0.4082279934607663,''Shannonbridg' to    'Dallow T'',-2.4903874258748466,205.21591123058332,-1.133310095290572
1599,Knockanure,2.5771008378694513,0.19823852598995778,-1.2329160634739327,2.8719975525283314,-2.490362679401651,''McDermott' to  'North Quays'',2.8719975525283314,131.49792174236993,81.86180143471782,''Shannonbridg' to    'Dallow T'',-2.490362679401651,205.21591123058332,-227.2690268132969
1600,Knockanure,4.146441297872096,0.29617437841943545,0.03375276501481439,2.871958838347271,-2.4903795195747214,''McDermott' to  'North Quays'',2.871958838347271,131.49792174236993,81.86069794749517,''Shannonbridg' to    'Dallow T'',-2.4903795195747214,205.21591123058332,-227.2705636375421
1601,Irishtown,0.4678320888162806,0.03118880592108537,1.4291839959307502,2.8730146344238148,-4.492864586999945,''McDermott' to  'North Quays'',2.8730146344238148,131.49792174236993,0.3858812721563631,''Maynooth B' to    'Rinawade'',-4.492864586999945,147.9030732909666,-0.5485363180204209
1602,Monatooreen,20.12303709000737,1.1837080641180806,2.089589784862448,8.072035236369835,-5.115643876641143,''Cahir' to        'Doon'',8.072035236369835,140.62618463464352,415.07842053408206,''Coolnabacky' to  'Portlaoise'',-5.115643876641143,174.04345554217545,-387.3794225251004
1604,Inch_Country,2.2468171010014597,0.14042606881259123,1.418916409184888,2.8729840135716205,-4.638513325519152,''McDermott' to  'North Quays'',2.8729840135716205,131.49792174236993,81.88991896496351,''Maynooth B' to    'Rinawade'',-4.638513325519152,147.9030732909666,-120.18277699665096
1605,Inchicore,0.4460377653299723,0.029735851021998154,1.421167329680413,2.873050211032552,-4.607096891000103,''McDermott' to  'North Quays'',2.873050211032552,131.49792174236993,81.89180582012379,''Maynooth B' to    'Rinawade'',-4.607096891000103,147.9030732909666,-119.36878465064208
1606,Inch_City,2.246823389384079,0.14042646183650495,1.41892038010998,2.8729920541233724,-4.638526306715194,''McDermott' to  'North Quays'',2.8729920541233724,131.49792174236993,81.8901481483242,''Maynooth B' to    'Rinawade'',-4.638526306715194,147.9030732909666,-120.18311333635283
1607,Iniscarra,13.456253804254445,0.8410158627659028,2.138444261016288,3.5927364334380094,-4.560761604426479,''Cahir' to        'Doon'',3.5927364334380094,140.62618463464352,184.74490268173736,''Coolnabacky' to  'Portlaoise'',-4.560761604426479,174.04345554217545,-345.3612564128288
1609,Huntstown,2.7894716770365813,0.17434197981478633,1.3556990884881044,3.0255143940522333,-3.5895243247626802,''Ratrussan' to    'Shankill'',3.0255143940522333,111.91206172981771,0.47802280386227397,''Maynooth B' to    'Rinawade'',-3.5895243247626802,147.9030732909666,-1.4532114606114412
1610,HeustonSqua,2.246821889313889,0.14042636808211806,1.4189194324290606,2.872990135697839,-4.638523208700413,''McDermott' to  'North Quays'',2.872990135697839,131.49792174236993,81.89009346660278,''Maynooth B' to    'Rinawade'',-4.638523208700413,147.9030732909666,-120.18303306752671
