name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,,scale
29501,762,10.04,1.98,0,0,,1,TRUE,wye,HeustonSqua,1
28611,778,10,3.286841052,0,0,,1,TRUE,wye,GrangeCastl,1
28602,780,10,3.286841052,0,0,,1,TRUE,wye,GrangeCastl,1
15402,1197,9.5,0.71,0,0,,1,TRUE,wye,Banoge,1
10902,1393,9.5,3.12,0,0,,1,TRUE,wye,Adamstown,1
47402,417,9.13,1.43,0,0,,1,TRUE,wye,Rinawade,1
54801,175,9,5.1,0,0,,1,TRUE,wye,Whitegate,1
19610,1017,8.8,2.9,0,0,,1,TRUE,wye,Castleview,1
22501,898,8.14,0.4,0,0,,1,TRUE,wye,Dardistown,1
10901,1394,7.67,2.49,0,0,,1,TRUE,wye,Adamstown,1
38701,574,7.27,0.21,0,0,,1,TRUE,wye,Milltown,1
14002,1264,6.59,0.36,0,0,,1,TRUE,wye,Bellacorick,1
10602,1403,6.08,0.09,0,0,,1,TRUE,wye,Arigna,1
13601,1275,5.99,1.67,0,0,,1,TRUE,wye,Ballydine,1
14401,1243,5.52,0.84,0,0,,1,TRUE,wye,Bandon,1
10801,1396,5.52,0.3,0,0,,1,TRUE,wye,Ahane,1
13501,1276,5.26,0.82,0,0,,1,TRUE,wye,Baroda,1
13404,1300,5.14,0.12,0,0,,1,TRUE,wye,Binbane,1
37602,604,4.58,0.55,0,0,,1,TRUE,wye,MaceIBM,1
40602,545,4.46,1.33,0,0,,1,TRUE,wye,Mullagharlin,1
50301,350,4.04,0.59,0,0,,1,TRUE,wye,Stephenstown,1
15001,1214,3.95,0.98,0,0,,1,TRUE,wye,Brinny,1
49001,410,2.29,0.7,0,0,,1,TRUE,wye,SheltonAbbe,1
14405,1240,2,0.6573,0,0,,1,TRUE,wye,Bandon,1
4341,1508,0.3,0.1,0,0,,1,TRUE,wye,Oldcourt,1
